,duration,lon,trip_id,lat
479,5666,-73.97301,5,40.72426
480,5674,-73.973,5,40.72426
481,5682,-73.97298,5,40.72427
482,5690,-73.97283,5,40.7245
483,5698,-73.97281,5,40.7245
484,5706,-73.9728,5,40.72448
485,5714,-73.97293,5,40.72426
486,5722,-73.97298,5,40.72418
487,5730,-73.97299,5,40.72418
488,5738,-73.9731,5,40.72421
489,5746,-73.9734,5,40.72433
490,5754,-73.97325,5,40.72458
491,5762,-73.97323,5,40.72458
492,5770,-73.97324,5,40.72455
493,5778,-73.97346,5,40.72422
494,5786,-73.97354,5,40.72417
495,5794,-73.97357,5,40.7242
496,5802,-73.97405,5,40.7244
497,5810,-73.97416,5,40.72445
498,5818,-73.97415,5,40.72446
499,5826,-73.97413,5,40.72451
500,5834,-73.97414,5,40.72456
501,5842,-73.97417,5,40.72461
502,5850,-73.97424,5,40.72465
503,5858,-73.97439,5,40.72467
504,5866,-73.97446,5,40.72464
505,5874,-73.9745,5,40.7246
506,5882,-73.97501,5,40.72481
507,5890,-73.97516,5,40.72489
508,5898,-73.9756,5,40.72429
509,5906,-73.97771,5,40.72518
510,5913,-73.97771,6,40.72518
511,5920,-73.97798,6,40.7253
512,5927,-73.97762,6,40.72581
513,5934,-73.97747,6,40.72596
514,5941,-73.97618,6,40.72776
515,5948,-73.97561,6,40.72856
516,5955,-73.97473,6,40.72978
517,5962,-73.9758,6,40.73021
518,5969,-73.97592,6,40.73032
519,5976,-73.97599,6,40.73043
520,5983,-73.976,6,40.73048
521,5990,-73.97597,6,40.73063
522,5997,-73.97591,6,40.73075
523,6004,-73.97575,6,40.73101
524,6011,-73.97564,6,40.73114
525,6018,-73.97549,6,40.73126
526,6025,-73.97531,6,40.73135
527,6032,-73.97521,6,40.73138
528,6039,-73.97524,6,40.73146
529,6046,-73.97526,6,40.73149
530,6053,-73.97527,6,40.73151
531,6060,-73.97534,6,40.73153
532,6067,-73.97562,6,40.73158
533,6074,-73.97592,6,40.73172
534,6081,-73.97603,6,40.73181
535,6088,-73.97609,6,40.7319
536,6095,-73.97612,6,40.73204
537,6102,-73.97613,6,40.73222
538,6109,-73.97616,6,40.73229
539,6116,-73.97626,6,40.73234
540,6123,-73.97632,6,40.73238
541,6130,-73.97634,6,40.73244
542,6137,-73.97667,6,40.73241
543,6144,-73.977,6,40.73247
544,6151,-73.97733,6,40.73261
545,6158,-73.9775,6,40.73269
546,6165,-73.97762,6,40.73277
547,6172,-73.9778,6,40.73299
548,6179,-73.97788,6,40.73312
549,6186,-73.97792,6,40.73328
550,6193,-73.97795,6,40.73346
551,6200,-73.97793,6,40.73368
552,6207,-73.97789,6,40.7338
553,6214,-73.9778,6,40.73395
554,6221,-73.97577,6,40.7331
555,6230,-73.97577,7,40.7331
556,6239,-73.97544,7,40.73296
557,6248,-73.97534,7,40.73311
558,6257,-73.97603,7,40.73338
559,6266,-73.97778,7,40.73411
560,6275,-73.97943,7,40.73481
561,6284,-73.97977,7,40.73495
562,6293,-73.97989,7,40.735
563,6302,-73.97973,7,40.73522
564,6311,-73.97962,7,40.73536
565,6320,-73.97955,7,40.73536
566,6329,-73.97947,7,40.73538
567,6338,-73.97939,7,40.73542
568,6347,-73.97931,7,40.73548
569,6356,-73.97851,7,40.73662
570,6365,-73.97847,7,40.73665
571,6374,-73.97842,7,40.73666
572,6383,-73.97836,7,40.73665
573,6392,-73.97807,7,40.73653
574,6430,-73.97805,8,40.73652
575,6468,-73.97798,8,40.73666
576,6506,-73.97841,8,40.73683
577,6544,-73.98092,8,40.73789
578,6582,-73.98269,8,40.73543
579,6620,-73.98355,8,40.73424
580,6658,-73.98434,8,40.73458
581,6696,-73.98894,8,40.73654
582,6734,-73.98961,8,40.73678
583,6772,-73.99013,8,40.737
584,6796,-73.99013,9,40.737
585,6820,-73.99036,9,40.73712
586,6844,-73.99174,9,40.73771
587,6868,-73.99545,9,40.73929
588,6892,-73.99459,9,40.74045
589,6916,-73.99375,9,40.74162
590,6940,-73.99301,9,40.74262
591,6964,-73.99231,9,40.74356
592,6988,-73.99051,9,40.74604
